date,region,current_inpatient,current_critical
5-May,Saskatoon,7,3
5-May,South,0,0
5-May,Regina,0,0
6-May,Far North,0,0
6-May,North,2,1
6-May,Central,0,0
6-May,Saskatoon,7,3
6-May,South,0,0
6-May,Regina,0,0
7-May,Far North,0,0
7-May,North,2,1
7-May,Central,0,0
7-May,Saskatoon,6,3
7-May,South,0,0
7-May,Regina,0,0
8-May,Far North,0,0
8-May,North,6,1
8-May,Central,0,0
8-May,Saskatoon,9,3
8-May,South,0,0
8-May,Regina,0,0
9-May,Far North,0,0
9-May,North,6,1
9-May,Central,0,0
9-May,Saskatoon,4,4
9-May,South,0,0
9-May,Regina,0,0
10-May,Far North,0,0
10-May,North,5,0
10-May,Central,0,0
10-May,Saskatoon,3,4
10-May,South,0,0
10-May,Regina,0,0
11-May,Far North,0,0
11-May,North,5,0
11-May,Central,0,0
11-May,Saskatoon,3,3
11-May,South,0,0
11-May,Regina,0,0
12-May,Far North,0,0
12-May,North,5,0
12-May,Central,0,0
12-May,Saskatoon,3,3
12-May,South,0,0
12-May,Regina,0,0
13-May,Far North,0,0
13-May,North,4,0
13-May,Central,0,0
13-May,Saskatoon,3,3
13-May,South,0,0
13-May,Regina,0,0
14-May,Far North,0,0
14-May,North,3,0
14-May,Central,0,0
14-May,Saskatoon,3,3
14-May,South,0,0
14-May,Regina,0,0
15-May,Far North,0,0
15-May,North,1,0
15-May,Central,0,0
15-May,Saskatoon,3,3
15-May,South,0,0
15-May,Regina,2,0
16-May,Far North,0,0
16-May,North,1,0
16-May,Central,0,0
16-May,Saskatoon,2,3
16-May,South,0,0
16-May,Regina,2,0
17-May,Far North,0,0
17-May,North,0,0
17-May,Central,0,0
17-May,Saskatoon,1,3
17-May,South,0,0
17-May,Regina,1,0
18-May,Far North,0,0
18-May,North,0,0
18-May,Central,0,0
18-May,Saskatoon,1,3
18-May,South,0,0
18-May,Regina,1,0
19-May,Far North,0,0
19-May,North,0,0
19-May,Central,0,0
19-May,Saskatoon,1,3
19-May,South,0,0
19-May,Regina,1,0
20-May,Far North,0,0
20-May,North,0,0
20-May,Central,0,0
20-May,Saskatoon,1,3
20-May,South,0,0
20-May,Regina,0,0
21-May,Far North,0,0
21-May,North,0,0
21-May,Central,0,0
21-May,Saskatoon,1,3
21-May,South,0,0
21-May,Regina,1,0
22-May,Far North,0,0
22-May,North,0,0
22-May,Central,0,0
22-May,Saskatoon,1,3
22-May,South,0,0
22-May,Regina,1,0
23-May,Far North,0,0
23-May,North,1,0
